FTV,Fortive Corp,Industrials,Industrial Machinery,7/1/2016,Industrial Machinery,23536
GD,General Dynamics,Industrials,Aerospace & Defense,3/4/1957,Aerospace & Defense,46752
GE,General Electric,Industrials,Industrial Conglomerates,,Industrial Conglomerates,104951
GILD,Gilead Sciences,Health Care,Biotechnology,7/1/2004,Biotechnology,81228
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,3/31/1969,Packaged Foods & Meats,34417
GL,Globe Life Inc.,Financials,Life & Health Insurance,4/30/1989,Life & Health Insurance,9814
GLW,Corning Inc.,Information Technology,Electronic Components,,Electronic Components,29658
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,6/6/2013,Automobile Manufacturers,77030
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment,3/22/2021,Electrical Components & Equipment,20103
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,4/3/2006,Interactive Media & Services,1427450
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4/3/2014,Interactive Media & Services,1426070
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,12/31/1973,Specialty Stores,14705
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,4/25/2016,Data Processing & Outsourced Services,58879
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,8/31/1986,Apparel Retail,8703
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,12/12/2012,Consumer Electronics,25334
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,7/22/2002,Investment Banking & Brokerage,107335
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,6/30/1981,Industrial Machinery,19837
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,3/4/1957,Oil & Gas Equipment & Services,18305
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,9/30/1984,Leisure Products,12344
HBAN,Huntington Bancshares,Financials,Regional Banks,,Regional Banks,15309
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3/20/2015,"Apparel, Accessories & Luxury Goods",6285
HCA,HCA Healthcare,Health Care,Health Care Facilities,1/27/2015,Health Care Facilities,58876
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,3/31/1988,Home Improvement Retail,296485
HES,Hess Corporation,Energy,Integrated Oil & Gas,5/31/1984,Integrated Oil & Gas,18961
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,6/18/2018,Oil & Gas Refining & Marketing,5403
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,3/4/1957,Property & Casualty Insurance,17485
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,1/3/2018,Aerospace & Defense,7060
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",6/19/2017,"Hotels, Resorts & Cruise Lines",31519
HOLX,Hologic,Health Care,Health Care Equipment,3/30/2016,Health Care Equipment,21495
HON,Honeywell Int'l Inc.,Industrials,Industrial Conglomerates,3/31/1964,Industrial Conglomerates,141493
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",11/2/2015,"Technology Hardware, Storage & Peripherals",18496
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",12/31/1974,"Technology Hardware, Storage & Peripherals",35026
HRL,Hormel Foods Corp.,Consumer Staples,Packaged Foods & Meats,3/4/2009,Packaged Foods & Meats,25413
HSIC,Henry Schein,Health Care,Health Care Distributors,3/17/2015,Health Care Distributors,10076
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,3/20/2007,Hotel & Resort REITs,11009
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,3/4/1957,Packaged Foods & Meats,31499
HUM,Humana Inc.,Health Care,Managed Health Care,,Managed Health Care,49647
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,3/31/1964,Aerospace & Defense,12305
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,3/4/1957,IT Consulting & Other Services,106989
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,9/26/2007,Financial Exchanges & Data,63146
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,1/5/2017,Health Care Equipment,45972
IEX,IDEX Corporation,Industrials,Industrial Machinery,8/9/2019,Industrial Machinery,14935
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,3/31/1976,Specialty Chemicals,34040
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,11/19/2015,Life Sciences Tools & Services,71911
INCY,Incyte,Health Care,Biotechnology,2/28/2017,Biotechnology,18055
INFO,IHS Markit,Industrials,Research & Consulting Services,6/2/2017,Research & Consulting Services,36922
INTC,Intel Corp.,Information Technology,Semiconductors,12/31/1976,Semiconductors,255354
INTU,Intuit Inc.,Information Technology,Application Software,12/5/2000,Application Software,115718
IP,International Paper,Materials,Paper Packaging,3/4/1957,Paper Packaging,19335
IPG,Interpublic Group,Communication Services,Advertising,10/1/1992,Advertising,9699
IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,3/7/2018,Electronic Manufacturing Services,13670
IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,8/29/2017,Life Sciences Tools & Services,36438
IR,Ingersoll-Rand,Industrials,Industrial Machinery,3/3/2020,Industrial Machinery,18196
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,1/6/2009,Specialized REITs,9500
ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,6/2/2008,Health Care Equipment,93097
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,4/5/2017,IT Consulting & Other Services,15961
ITW,Illinois Tool Works,Industrials,Industrial Machinery,2/28/1986,Industrial Machinery,63024
IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,8/21/2008,Asset Management & Custody Banks,10491
J,Jacobs Engineering Group,Industrials,Construction & Engineering,10/26/2007,Construction & Engineering,14728
JBHT,J. B. Hunt Transport Services,Industrials,Trucking,7/1/2015,Trucking,15490
JCI,Johnson Controls International,Industrials,Building Products,8/27/2010,Building Products,38073
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,11/13/2018,Data Processing & Outsourced Services,11124
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,6/30/1973,Pharmaceuticals,434553
JNPR,Juniper Networks,Information Technology,Communications Equipment,6/2/2006,Communications Equipment,8023
JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,6/30/1975,Diversified Banks,441095
K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,,Packaged Foods & Meats,19543
KEY,KeyCorp,Financials,Regional Banks,3/1/1994,Regional Banks,19309
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,11/6/2018,Electronic Equipment & Instruments,28111
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,7/6/2015,Packaged Foods & Meats,43231
KIM,Kimco Realty,Real Estate,Retail REITs,4/4/2006,Retail REITs,7624
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,,Semiconductor Equipment,52080
KMB,Kimberly-Clark,Consumer Staples,Household Products,3/4/1957,Household Products,44068
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,5/25/2012,Oil & Gas Storage & Transportation,34056
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,6/28/2010,Specialty Stores,19887
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,3/4/1957,Soft Drinks,216031
KR,Kroger Co.,Consumer Staples,Food Retail,3/4/1957,Food Retail,25626
KSU,Kansas City Southern,Industrials,Railroads,5/24/2013,Railroads,19181
L,Loews Corp.,Financials,Multi-line Insurance,,Multi-line Insurance,13023
LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,9/30/1983,Apparel Retail,13685
LDOS,Leidos Holdings,Industrials,Diversified Support Services,8/9/2019,Diversified Support Services,14974
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,,Home Furnishings,5588
LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,10/4/2005,Homebuilding,26962
LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,11/1/2004,Health Care Services,23021
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,9/22/2008,Aerospace & Defense,38763
LIN,Linde plc,Materials,Industrial Gases,7/1/1992,Industrial Gases,131287
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,5/23/2016,Distributors,11400
LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,12/31/1970,Pharmaceuticals,196825
LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,7/31/1984,Aerospace & Defense,93842
LNC,Lincoln National,Financials,Multi-line Insurance,6/30/1976,Multi-line Insurance,10466
LNT,Alliant Energy,Utilities,Electric Utilities,7/1/2016,Electric Utilities,11942
LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,2/29/1984,Home Improvement Retail,127538
LRCX,Lam Research,Information Technology,Semiconductor Equipment,6/29/2012,Semiconductor Equipment,84571
LUMN,Lumen Technologies,Communication Services,Alternative Carriers,3/25/1999,Alternative Carriers,12935
LUV,Southwest Airlines,Industrials,Airlines,7/1/1994,Airlines,30691
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,10/3/2019,Casinos & Gaming,43889
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,12/3/2018,Packaged Foods & Meats,11261
LYB,LyondellBasell,Materials,Specialty Chemicals,9/5/2012,Specialty Chemicals,32719
